"Manhattan","Bronx","Brooklyn","Queens"
1471770,1280850,2313260,2036240
1471990,1282320,2314280,2037790
1471860,1281170,2313660,2037380
1471050,1281000,2314550,2037840
1470010,1280870,2313650,2036950
1472400,1280990,2313020,2037710
1472330,1281310,2315370,2036570
1471610,1280620,2313860,2036650
1470300,1281990,2314320,2035560
1470410,1280790,2312420,2036220
1471200,1281430,2313190,2037040
1471560,1280980,2315020,2036820
1471130,1281530,2313430,2037560
1470840,1281340,2314300,2037760
1470700,1281160,2315440,2037860
1471720,1280430,2312890,2035910
1471200,1281560,2314230,2036300
1471820,1280640,2313620,2035800
1470610,1279890,2313260,2037240
1470950,1281110,2312990,2037070
1471010,1280940,2312920,2037440
1471530,1280010,2313240,2035940
1472130,1281480,2313470,2037430
1471260,1280420,2313250,2036610
1471460,1281470,2313090,2038200
1471220,1281110,2313770,2037840
1471800,1282000,2313480,2037010
1471670,1281880,2313640,2036930
1472140,1280880,2314090,2037280
1471290,1280690,2314010,2036460
1472100,1281550,2313800,2036320
1471290,1281180,2314540,2036540
1471270,1281430,2313970,2036740
1471520,1281190,2313220,2037240
1470250,1281330,2313430,2035290
1471100,1281770,2313150,2035930
1472030,1280910,2314240,2036310
1471390,1281420,2314240,2037170
1471140,1280930,2314080,2036930
1471200,1280150,2315080,2037540
1470560,1280480,2315250,2036980
1470330,1281640,2313620,2037520
1472010,1281860,2314380,2036140
1470680,1280790,2313520,2037280
1471890,1281500,2313870,2038300
1471000,1281810,2313070,2035680
1471560,1281070,2313670,2036130
1471020,1281720,2314150,2037720
1470160,1281340,2314970,2037200
1471190,1281460,2314060,2037270
1470660,1280920,2315390,2037280
1471790,1281100,2314830,2037180
1472000,1281930,2313920,2037150
1471520,1280280,2314480,2035600
1471620,1281250,2312880,2035650
1472470,1281310,2314460,2037880
1471450,1280620,2313540,2037070
1470960,1280540,2315340,2037260
1471390,1282670,2313010,2037680
1470990,1281040,2313730,2037320
1471710,1281640,2314500,2038110
1471820,1281540,2313070,2037610
1471610,1281420,2313770,2037260
1471580,1281320,2313850,2037320
1471260,1281390,2312650,2037850
1471190,1281800,2314460,2037280
1470740,1281050,2313720,2037280
1471600,1281260,2314460,2037080
1471680,1281740,2314200,2036060
1471730,1281440,2313100,2037040
1470440,1281790,2313450,2036390
1471120,1281130,2312450,2035940
1471020,1281220,2313520,2036600
1471270,1282240,2313890,2036510
1471620,1281730,2312940,2037050
1471500,1281930,2314300,2037360
1471680,1280800,2313490,2037010
1471710,1280860,2314330,2037680
1471690,1280900,2313940,2037560
1470820,1280580,2313380,2036230
1470580,1281410,2315580,2036800
1470710,1280740,2313700,2037390
1472330,1280950,2313470,2037680
1470930,1280840,2313040,2038300
1470890,1281130,2312870,2036360
1470620,1281230,2313170,2036290
1472110,1281510,2313200,2037460
1471050,1281330,2313580,2036530
1470750,1281220,2313440,2035910
1470800,1281150,2312830,2036580
1471000,1282210,2313580,2036270
1471730,1281190,2313440,2035410
1471680,1280760,2313480,2037060
1470970,1280840,2314570,2037140
1472110,1280770,2314140,2037710
1472490,1282100,2314750,2036730
1471160,1281520,2312930,2036400
1471350,1281290,2314270,2038150
1470930,1280950,2313660,2036550
1471110,1280520,2313860,2036640
