geoid_o,geoid_d,pop_flows,avg_daily_flow_w1,avg_daily_flow_w2,avg_daily_flow_w3,avg_daily_flow_w4,avg_daily_flow_w5,avg_daily_flow_w6,avg_daily_flow_w7,avg_daily_flow_w8,avg_daily_flow_w9,avg_daily_flow_w10
36061,36061,6595117.0,942159.5714285715,850309.7142857143,822596.0,523757.0,476240.85714285716,455724.85714285716,432347.4285714286,462241.14285714284,457110.4285714286,478386.4285714286
36061,36081,363063.0,51866.142857142855,45078.71428571428,47807.42857142857,32063.0,20263.0,20281.714285714286,20064.428571428572,21221.285714285714,20904.285714285714,25404.428571428572
36061,36005,491027.0,70146.71428571429,63913.71428571428,68388.57142857143,58451.857142857145,46756.57142857143,47195.57142857143,44809.0,49260.28571428572,47649.0,55148.0
36061,36047,347578.0,49654.0,44163.0,41266.42857142857,29656.714285714286,24909.285714285714,24842.714285714286,22589.285714285714,23634.14285714286,25179.428571428572,28474.0
36061,36085,23834.0,3404.8571428571427,2488.285714285714,2749.285714285714,1678.4285714285713,1299.4285714285713,1690.4285714285713,1483.0,1728.142857142857,1428.2857142857142,1924.0
36005,36061,2140627.0,305803.85714285716,275860.14285714284,268680.14285714284,169302.57142857142,129391.57142857143,116966.42857142857,99676.28571428571,105872.42857142857,107485.42857142857,114445.14285714286
36005,36081,339951.0,48564.42857142857,42306.28571428572,40955.0,28501.428571428572,22240.428571428572,18642.85714285714,16198.42857142857,17584.714285714286,17682.0,19057.285714285714
36005,36005,6275433.0,896490.4285714285,815357.8571428572,854578.5714285715,679429.8571428572,612945.7142857143,612555.8571428572,521962.14285714284,564397.2857142857,563304.8571428572,609143.8571428572
36005,36047,251225.0,35889.28571428572,32724.714285714286,30037.428571428572,24040.14285714286,20271.428571428572,18267.714285714286,14298.285714285714,15493.285714285714,16178.0,19891.571428571428
36005,36085,12707.0,1815.2857142857142,1740.2857142857142,1657.142857142857,1051.857142857143,1307.5714285714287,1158.0,754.1428571428571,780.8571428571429,1208.7142857142858,1144.4285714285713
36047,36061,2508989.0,358427.0,321912.5714285714,281896.0,146220.0,106345.57142857143,90203.28571428571,81301.14285714286,87142.14285714286,88614.85714285714,96085.71428571429
36047,36081,1073365.0,153337.85714285713,140757.2857142857,136375.2857142857,98408.0,72547.42857142857,70930.85714285714,67351.28571428571,74376.28571428571,74338.71428571429,78994.57142857143
36047,36005,196158.0,28022.571428571428,24983.571428571428,23625.571428571428,18974.714285714286,17620.85714285714,18917.285714285714,16077.57142857143,16997.0,17037.571428571428,17958.85714285714
36047,36047,12191876.0,1741696.5714285714,1664290.2857142857,1716554.2857142857,1287265.5714285714,1127449.4285714286,1122661.857142857,1002420.7142857143,1101522.857142857,1083882.2857142857,1164548.4285714286
36047,36085,139762.0,19966.0,18139.0,16751.714285714286,8987.285714285714,8429.714285714286,8366.142857142857,6828.571428571428,9181.142857142857,8621.57142857143,10710.57142857143
36081,36061,2261855.0,323122.14285714284,291613.5714285714,269804.14285714284,143771.0,90855.85714285714,77872.42857142857,74112.42857142857,78516.42857142857,82131.0,86855.42857142857
36081,36081,10600198.0,1514314.0,1436885.5714285714,1487115.2857142857,1075757.2857142857,905917.8571428572,897219.4285714285,821705.4285714285,900092.4285714285,873608.4285714285,947925.8571428572
36081,36005,235204.0,33600.57142857143,31372.14285714286,30313.714285714286,24545.285714285714,20794.0,22268.714285714286,20323.428571428572,22162.428571428572,22029.85714285714,22664.85714285714
36081,36047,1169357.0,167051.0,161732.57142857142,154952.42857142858,114835.85714285714,90396.71428571429,86018.28571428571,82076.71428571429,90254.14285714286,92208.0,102708.14285714286
36081,36085,26316.0,3759.4285714285716,3451.5714285714284,3117.8571428571427,2441.8571428571427,1640.2857142857142,1690.5714285714287,2038.2857142857142,2256.0,3357.5714285714284,3199.1428571428573
36085,36061,309795.0,44256.42857142857,42259.857142857145,34551.0,20551.571428571428,14862.857142857143,11735.142857142857,10525.142857142857,11671.0,11475.42857142857,12484.57142857143
36085,36081,62303.0,8900.42857142857,8411.42857142857,8289.42857142857,5627.142857142857,4633.0,3843.714285714286,3291.1428571428573,3329.285714285714,3665.8571428571427,3647.714285714286
36085,36005,18333.0,2619.0,2494.5714285714284,2289.1428571428573,1778.5714285714287,1775.7142857142858,1658.4285714285713,1424.2857142857142,1379.142857142857,1469.2857142857142,1598.5714285714287
36085,36047,377420.0,53917.142857142855,52626.57142857143,48745.71428571428,36642.0,27534.85714285714,26696.571428571428,23559.428571428572,25401.14285714286,26553.0,28261.0
36085,36085,2633617.0,376231.0,389396.4285714286,379835.5714285714,245884.2857142857,210929.14285714287,220223.0,206805.14285714287,219790.42857142858,210969.85714285713,235987.42857142858
