"","zcta_id","population_2020"
"1",0,22161
"2",1,86731
"3",2,58578
"4",3,3357
"5",4,7534
"6",5,3156
"7",6,7788
"8",7,64711
"9",8,33532
"10",9,53844
"11",10,25399
"12",11,29838
"13",12,33666
"14",13,57048
"15",14,17423
"16",15,5458
"17",16,45294
"18",17,46868
"19",18,33814
"20",19,65597
"21",20,64044
"22",21,101039
"23",22,36735
"24",23,64138
"25",24,48250
"26",25,82120
"27",26,29311
"28",27,60681
"29",28,61540
"30",29,58067
"31",30,42064
"32",31,36753
"33",32,25852
"34",33,18667
"35",34,21476
"36",35,26706
"37",36,45261
"38",37,12508
"39",38,34746
"40",39,5788
"41",40,27945
"42",41,64814
"43",42,8616
"44",43,5574
"45",44,42973
"46",45,20945
"47",46,28924
"48",47,45895
"49",48,45050
"50",49,60072
"51",50,15193
"52",51,29393
"53",52,35158
"54",53,27376
"55",54,63850
"56",55,92181
"57",56,50168
"58",57,83518
"59",58,86620
"60",59,41272
"61",60,43849
"62",61,95859
"63",62,78388
"64",63,87735
"65",64,52452
"66",65,63451
"67",66,54543
"68",67,82676
"69",68,73701
"70",69,4806
"71",70,45417
"72",71,73791
"73",72,106572
"74",73,83894
"75",74,72193
"76",75,16545
"77",76,24570
"78",77,73025
"79",78,63558
"80",79,13602
"81",80,43668
"82",81,14881
"83",82,27462
"84",83,36542
"85",84,41300
"86",85,29269
"87",86,39095
"88",87,41553
"89",88,3770
"90",89,55334
"91",90,82053
"92",91,86123
"93",92,45127
"94",93,90227
"95",94,102541
"96",95,103704
"97",96,74325
"98",97,67826
"99",98,100523
"100",99,92658
"101",100,69935
"102",101,95689
"103",102,69196
"104",103,58537
"105",104,38817
"106",105,82970
"107",106,105780
"108",107,109296
"109",108,86046
"110",109,38987
"111",110,85760
"112",111,50936
"113",112,61641
"114",113,110668
"115",114,44899
"116",115,86382
"117",116,95369
"118",117,36462
"119",118,30920
"120",119,73638
"121",120,94896
"122",121,84783
"123",122,101408
"124",123,54706
"125",124,53066
"126",125,14309
"127",126,58467
"128",127,91846
"129",128,25515
"130",129,41934
"131",130,40209
"132",131,20111
"133",132,30634
"134",133,18983
"135",134,7432
"136",135,36791
"137",136,45485
"138",137,14501
"139",138,45328
"140",139,121524
"141",140,42083
"142",141,42268
"143",142,72163
"144",143,109195
"145",144,46773
"146",145,74038
"147",146,96843
"148",147,37990
"149",148,37365
"150",149,107229
"151",150,19867
"152",151,37575
"153",152,41779
"154",153,27952
"155",154,20895
"156",155,27060
"157",156,31374
"158",157,39513
"159",158,51103
"160",159,47849
"161",160,42430
"162",161,32820
"163",162,32251
"164",163,18803
"165",164,25357
"166",165,20712
"167",166,27071
"168",167,65764
"169",168,35590
"170",169,64126
"171",170,58474
"172",171,19464
"173",172,66758
"174",173,20434
"175",174,12891
"176",175,21882
"177",176,4354
